"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
"B0420"	"dxs"	"dxs 1-deoxyxylulose-5-phosphate synthase; flavoprotein "	0.597	0.613
"B0421"	"ispA"	"ispA geranyltranstransferase (farnesyldiphosphate synthase) "	0.332	0.206
"B0422"	"xseB"	"xseB exonuclease VII, small subunit "	0.848	0.617
"B0423"	"yajK"	"yajK putative oxidoreductase "		
"B0424"	"thiJ"	"thiJ 4-methyl-5(beta-hydroxyethyl)-thiazole monophosphate synthesis "		-0.531
"B0425"	"apbA"	"apbA involved in thiamin biosynthesis, alternative pyrimidine biosynthesis "		0.099
"B0427"	"yajR"	"yajR putative transport protein "		-1.135
"B0428"	"cyoE"	"cyoE protoheme IX farnesyltransferase (haeme O biosynthesis) "	0.703	0.797
"B0429"	"cyoD"	"cyoD cytochrome o ubiquinol oxidase subunit IV "	1.954	0.749
"B0430"	"cyoC"	"cyoC cytochrome o ubiquinol oxidase subunit III "	2.107	1.025
"B0431"	"cyoB"	"cyoB cytochrome o ubiquinol oxidase subunit I "	2.015	0.569
"B0432"	"cyoA"	"cyoA cytochrome o ubiquinol oxidase subunit II "	2.444	0.712
"B0433"	"ampG"	"ampG regulates beta-lactamase synthesis "	-1.971	-1.166
"B0434"	"yajG"	"yajG putative polymerase/proteinase "	2.286	1.076
"B0435"	"BolA"	"BolA possible regulator of murein genes "	2.982	3.556
"B0437"	"clpP"	"clpP ATP-dependent proteolytic subunit of clpA-clpP serine protease, heat shock protein F21.5 "	2.016	1.981
"B0438"	"clpX"	"clpX ATP-dependent specificity component of clpP serine protease, chaperone "	-0.099	1.167
"B0439"	"lon"	"lon DNA-binding, ATP-dependent protease La; heat shock K-protein "	1.09	0.835
"B0440"	"hupB"	"hupB DNA-binding protein HU-beta, NS1 (HU-1) "	2.648	2.784
"B0441"	"ybaU"	"ybaU putative protease maturation protein "	0.38	1.19
"B0442"	"ybaV"	"ybaV orf, hypothetical protein "		0.516
"B0443"	"ybaW"	"ybaW orf, hypothetical protein "		-0.804
"B0444"	"ybaX"	"ybaX orf, hypothetical protein "	-0.367	0.546
"B0445"	"ybaE"	"ybaE orf, hypothetical protein "		-1.732
"B0446"	"cof"	"cof orf, hypothetical protein "	-1.307	0.545
"B0447"	"ybaO"	"ybaO putative LRP-like transcriptional regulator "		-1.255
"B0448"	"mdlA"	"mdlA ATP-binding component of a transport system "		
"B0449"	"mdlB"	"mdlB putative ATP-binding component of a transport system "		-0.971
"B0450"	"glnK"	"glnK nitrogen regulatory protein P-II 2 "	0.757	
"B0451"	"amtB"	"amtB probable ammonium transporter "	-1.412	-0.755
"B0452"	"tesB"	"tesB acyl-CoA thioesterase II "	-0.615	-0.046
"B0453"	"ybaY"	"ybaY glycoprotein/polysaccharide metabolism "	1.32	3.133
"B0456"	"ybaA"	"ybaA orf, hypothetical protein "		0.571
"B0457"	"ylaB"	"ylaB orf, hypothetical protein "		-1.115
"B0459"	"ylaD"	"ylaD putative transferase "	-0.076	-0.781
"B0460"	"hha"	"hha haemolysin expression modulating protein "		2.983
"B0461"	"ybaJ"	"ybaJ orf, hypothetical protein "	-0.519	0.683
"B0462"	"acrB"	"acrB acridine efflux pump "	-1.443	-0.268
"B0463"	"acrA"	"acrA acridine efflux pump "	0.503	1.065
"B0464"	"acrR"	"acrR acrAB operon repressor "	-1.039	1.005
"B0465"	"aefA"	"aefA putative alpha helix protein "		-1.31
"B0467"	"priC"	"priC primosomal replication protein N'' "		
"B0468"	"ybaN"	"ybaN putative gene 58 "	-0.396	2.364
"B0469"	"apt"	"apt adenine phosphoribosyltransferase "	-1.409	0.459
"B0470"	"dnaX"	"dnaX DNA polymerase III, tau and gamma subunits; DNA elongation factor III "	-0.73	0.454
"B0471"	"ybaB"	"ybaB orf, hypothetical protein "	1.95	3.755
"B0472"	"recR"	"recR recombination and repair "	-1.282	-0.151
"B0473"	"htpG"	"htpG chaperone Hsp90, heat shock protein C 62.5 "	0.687	0.15
"B0474"	"adk"	"adk adenylate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity "	3.115	0.641
"B0475"	"hemH"	"hemH ferrochelatase: final enzyme of heme biosynthesis "		-0.036
"B0476"	"ybaC"	"ybaC putative lipase (EC 3.1.1.-) "		
"B0477"	"gsk"	"gsk inosine-guanosine kinase "		-0.769
"B0478"	"ybaL"	"ybaL putative transport protein "	-0.889	-0.764
"B0479"	"fsr"	"fsr fosmidomycin resistance protein "		-0.262
"B0481"	"ybaK"	"ybaK orf, hypothetical protein "	-0.714	-0.181
"B0482"	"ybaP"	"ybaP putative ligase "	-0.798	-0.014
"B0483"	"ybaQ"	"ybaQ orf, hypothetical protein "	0.174	2.218
"B0484"	"ybaR"	"ybaR putative ATPase "		1.95
"B0485"	"ybaS"	"ybaS putative glutaminase "		2.432
"B0486"	"ybaT"	"ybaT putative amino acid/amine transport protein "		0.363
"B0487"	"ybbI"	"ybbI putative transcriptional regulator "		1.149
"B0488"	"ybbJ"	"ybbJ orf, hypothetical protein "		-0.14
"B0489"	"ybbK"	"ybbK putative protease "	-1.388	-0.266
"B0490"	"ybbL"	"ybbL putative ATP-binding component of a transport system "		
"B0491"	"ybbM"	"ybbM putative metal resistance protein "		-1.275
"B0492"	"ybbN"	"ybbN putative thioredoxin-like protein "	-0.577	0.154
"B0493"	"ybbO"	"ybbO putative oxidoreductase "		-0.421
"B0494"	"tesA"	"tesA acyl-CoA thioesterase I; also functions as protease I "	-1.25	0.271
"B0495"	"ybbA"	"ybbA putative ATP-binding component of a transport system "	0.473	0.406
"B0496"	"ybbP"	"ybbP putative oxidoreductase "		-1.634
"B0497"	"rhsD"	"rhsD rhsD protein in rhs element "		-1.652
"B0498"	"ybbC"	"ybbC orf, hypothetical protein "		-0.815
"B0503"	"ybbB"	"ybbB putative capsule anchoring protein "		
"B0504"	"ybbS"	"ybbS putative transcriptional regulator LYSR-type "		-1.002
"B0505"	"ybbT"	"ybbT orf, hypothetical protein "		
"B0506"	"ybbU"	"ybbU putative regulator "	-0.935	1.299
"B0509"	"ybbQ"	"ybbQ putative oxidoreductase "		
"B0511"	"ybbW"	"ybbW putative transport protein "		-0.886
"B0513"	"ybbY"	"ybbY putative transport "		-1.104
"B0514"	"ybbZ"	"ybbZ orf, hypothetical protein "		
"B0516"	"ylbB"	"ylbB putative hydantoin utilization protein "		-1.673
"B0518"	"fdrA"	"fdrA involved in protein transport; multicopy suppressor of dominant negative ftsH mutants "		
"B0520"	"ylbF"	"ylbF putative carboxylase "		0.604
"B0521"	"arcC"	"arcC putative carbamate kinase (EC 2.7.2.2) "	-0.603	-0.343
"B0522"	"purK"	"purK phosphoribosylaminoimidazole carboxylase = AIR carboxylase, CO(2)-fixing subunit "		0.643
"B0523"	"purE"	"purE phosphoribosylaminoimidazole carboxylase = AIR carboxylase, catalytic subunit "		1.384
"B0524"	"ybbF"	"ybbF orf, hypothetical protein "		-0.524
"B0525"	"ppiB"	"ppiB peptidyl-prolyl cis-trans isomerase B (rotamase B) "	2.501	2.673
"B0526"	"cysS"	"cysS cysteine tRNA synthetase "	-0.175	-0.254
"B0527"	"ybcI"	"ybcI orf, hypothetical protein "		
"B0529"	"folD"	"folD 5,10-methylene-tetrahydrofolate dehydrogenase; 5,10-methylene-tetrahydrofolate cyclohydrolase "	-0.171	0.687
"B0530"	"sfmA"	"sfmA putative fimbrial-like protein "		-1.459
"B0532"	"sfmD"	"sfmD putative outer membrane protein, export function "	-2.146	-0.841
"B0533"	"sfmH"	"sfmH involved in fimbrial asembly "		
"B0537"	"intD"	"intD prophage DLP12 integrase "		-0.996
"B0539"	"B0539"	"B0539 putative exonuclease (EC 3.1.11.3) similar to lambda "		
"B0541"	"tra5_2"	"tra5_2 IS3 putative transposase "	-2.6	-1.57
"B0542"	"B0542"	"B0542 orf, hypothetical protein "		
"B0546"	"ybcM"	"ybcM putative ARAC-type regulatory protein "		-0.707
"B0549"	"ybcO"	"ybcO orf, hypothetical protein "	-1.949	-0.674
"B0550"	"rus"	"rus endodeoxyribonuclease RUS (Holliday junction resolvase) "		
"B0552"	"trs5_2"	"trs5_2 IS5 transposase "	-0.915	-0.973
"B0553"	"nmpC"	"nmpC outer membrane porin protein; locus of qsr prophage "	0.718	
"B0555"	"ybcS"	"ybcS Bacteriophage lambda lysozyme homolog "		-1.129
"B0557"	"ybcU"	"ybcU Bacteriophage lambda Bor protein homolog "	-0.034	
"B0559"	"ybcW"	"ybcW orf, hypothetical protein "	-1.643	-0.529
"B0564"	"appY"	"appY regulatory protein affecting appA and other genes "		-0.098
"B0565"	"ompT"	"ompT outer membrane protein 3b (a), protease VII "	3.505	2.602
"B0566"	"envY"	"envY envelope protein; thermoregulation of porin biosynthesis "	-0.658	0.024
"B0567"	"ybcH"	"ybcH orf, hypothetical protein "		-0.956
"B0568"	"nfrA"	"nfrA bacteriophage N4 receptor, outer membrane protein "		
"B0569"	"nfrB"	"nfrB bacteriophage N4 receptor, outer membrane protein "		-1.411
"B0570"	"ybcZ"	"ybcZ putative 2-component sensor protein "		-0.702
"B0571"	"ylcA"	"ylcA putative 2-component transcriptional regulator "		-1.343
"B0572"	"ylcB"	"ylcB putative resistance protein "		
"B0573"	"ylcC"	"ylcC orf, hypothetical protein "		-0.835
"B0575"	"ybdE"	"ybdE putative inner membrane component for iron transport "		
"B0576"	"pheP"	"pheP phenylalanine-specific transport system "		0.136
"B0577"	"ybdG"	"ybdG putative transport "	-2.142	
"B0578"	"nfnB"	"nfnB oxygen-insensitive NAD(P)H nitroreductase "	0.751	0.509
"B0579"	"ybdF"	"ybdF orf, hypothetical protein "		-0.347
"B0580"	"ybdJ"	"ybdJ orf, hypothetical protein "		0.159
"B0581"	"ybdK"	"ybdK orf, hypothetical protein "		-0.321
"B0582"	"yi81_2"	"yi81_2 IS186 hypothetical protein "	-2.14	-1.568
"B0583"	"entD"	"entD enterochelin synthetase, component D "		-0.486
"B0584"	"fepA"	"fepA outer membrane receptor for ferric enterobactin (enterochelin) and colicins B and D "		1.779
"B0585"	"fes"	"fes enterochelin esterase "		1.322
"B0586"	"entF"	"entF ATP-dependent serine activating enzyme (may be part of enterobactin synthase as component F) "		1.151
"B0587"	"fepE"	"fepE ferric enterobactin (enterochelin) transport "		
"B0588"	"fepC"	"fepC ATP-binding component of ferric enterobactin transport "		-1.412
"B0591"	"ybdA"	"ybdA putative transport "		
"B0592"	"fepB"	"fepB ferric enterobactin (enterochelin) binding protein; periplasmic component "		0.956
"B0593"	"entC"	"entC isochorismate hydroxymutase 2, enterochelin biosynthesis "	-0.943	1.808
"B0594"	"entE"	"entE 2,3-dihydroxybenzoate-AMP ligase "		1.006
"B0595"	"entB"	"entB 2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase "		1.674
"B0596"	"entA"	"entA 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase, enterochelin biosynthesis "		0.45
"B0597"	"ybdB"	"ybdB orf, hypothetical protein "		0.648
"B0598"	"cstA"	"cstA carbon starvation protein "	-0.386	-0.32
"B0599"	"ybdH"	"ybdH putative oxidoreductase "	-1.667	0.129
"B0600"	"ybdL"	"ybdL putative aminotransferase "		0.043
"B0604"	"dsbG"	"dsbG thiol:disulfide interchange protein "	-0.79	0.129
"B0605"	"ahpC"	"ahpC alkyl hydroperoxide reductase, C22 subunit; detoxification of hydroperoxides "	4.117	4.665
"B0606"	"ahpF"	"ahpF alkyl hydroperoxide reductase, F52a subunit; detoxification of hydroperoxides "	-1.697	0.544
"B0607"	"ybdQ"	"ybdQ orf, hypothetical protein "	-1.946	-1.934
"B0608"	"ybdR"	"ybdR putative oxidoreductase "		0.261
"B0609"	"B0609"	"B0609 orf, hypothetical protein "		
"B0610"	"rnk"	"rnk regulator of nucleoside diphosphate kinase "	0.148	0.186
"B0611"	"rna"	"rna RNase I, cleaves phosphodiester bond between any two nucleotides "	-0.387	0.733
"B0615"	"citF"	"citF citrate lyase alpha chain "		
"B0616"	"citE"	"citE citrate lyase beta chain (acyl lyase subunit) "		-1.005
"B0617"	"citD"	"citD citrate lyase acyl carrier protein (gamma chain) "		-0.164
"B0619"	"citA"	"citA putative sensor-type protein "		-0.819
"B0621"	"dcuC"	"dcuC transport of dicarboxylates "		
"B0622"	"crcA"	"crcA orf, hypothetical protein "		
"B0623"	"cspE"	"cspE cold shock protein "		2.051
"B0624"	"crcB"	"crcB orf, hypothetical protein "		-0.43
"B0625"	"ybeH"	"ybeH orf, hypothetical protein "		-0.343
"B0626"	"ybeM"	"ybeM putative amidase "		-0.939
"B0627"	"ybeC"	"ybeC orf, hypothetical protein "	0.585	0.368
"B0628"	"lipA"	"lipA lipoate synthesis, sulfur insertion? "	0.41	0.261
"B0629"	"ybeF"	"ybeF putative transcriptional regulator LYSR-type "		
"B0630"	"lipB"	"lipB protein of lipoate biosynthesis "	-0.887	-0.682
"B0631"	"ybeD"	"ybeD orf, hypothetical protein "	-0.567	1.533
"B0632"	"dacA"	"dacA D-alanyl-D-alanine carboxypeptidase, fraction A; penicillin-binding protein 5 "	0.571	0.374
"B0633"	"rlpA"	"rlpA a minor lipoprotein "	0.55	1.018
"B0634"	"mrdB"	"mrdB rod shape-determining membrane protein; sensitivity to radiation and drugs "		0.326
"B0635"	"mrdA"	"mrdA cell elongation, e phase; peptidoglycan synthetase; penicillin-binding protein 2 "	-2.524	-1.61
"B0636"	"ybeA"	"ybeA orf, hypothetical protein "	0.053	-0.13
"B0637"	"ybeB"	"ybeB orf, hypothetical protein "	-0.762	-0.668
"B0638"	"phpB"	"phpB homolog of Salmonella cobC, a phosphohistidine protein "	-1.363	0.106
"B0639"	"ybeN"	"ybeN orf, hypothetical protein "	-0.588	0.019
"B0640"	"holA"	"holA DNA polymerase III, delta subunit "	-0.535	-0.155
"B0641"	"rlpB"	"rlpB a minor lipoprotein "		0.604
"B0642"	"leuS"	"leuS leucine tRNA synthetase "	0.427	0.811
"B0643"	"ybeL"	"ybeL putative alpha helical protein "	-0.187	0.611
"B0645"	"ybeR"	"ybeR orf, hypothetical protein "		
"B0646"	"ybeS"	"ybeS putative enzyme of polynucleotide modification "		
"B0647"	"ybeT"	"ybeT orf, hypothetical protein "		
"B0649"	"ybeV"	"ybeV orf, hypothetical protein "		
"B0651"	"ybeK"	"ybeK putative tRNA synthetase "	6.159	
"B0653"	"gltK"	"gltK glutamate/aspartate transport system permease "		
"B0654"	"gltJ"	"gltJ glutamate/aspartate transport system permease "		
"B0656"	"trs5_3"	"trs5_3 IS5 transposase "	-0.535	-0.466
"B0658"	"ybeX"	"ybeX putative transport protein "	0.379	0.926
"B0659"	"ybeY"	"ybeY orf, hypothetical protein "	-0.669	0.576
"B0660"	"ybeZ"	"ybeZ putative ATP-binding protein in pho regulon "	1.272	1.319
"B0662"	"yleB"	"yleB orf, hypothetical protein "		-0.405
"B0669"	"B0669"	"B0669 putative RNA "	-0.641	-0.305
"B0674"	"asnB"	"asnB asparagine synthetase B "		-0.048
"B0675"	"nagD"	"nagD N-acetylglucosamine metabolism "	-0.68	0.067
"B0677"	"nagA"	"nagA N-acetylglucosamine-6-phosphate deacetylase "	-0.536	-0.075
"B0679"	"nagE"	"nagE PTS system, N-acetylglucosamine-specific enzyme IIABC "	-0.939	-0.873
"B0680"	"glnS"	"glnS glutamine tRNA synthetase "	1.768	1.47
"B0681"	"ybfM"	"ybfM orf, hypothetical protein "	-2.118	
"B0682"	"ybfN"	"ybfN orf, hypothetical protein "		-0.113
"B0683"	"fur"	"fur negative regulator "	3.102	2.561
"B0684"	"fldA"	"fldA flavodoxin 1 "	1.959	1.928
"B0685"	"ybfE"	"ybfE orf, hypothetical protein "	-0.558	0.057
"B0686"	"ybfF"	"ybfF orf, hypothetical protein "	-1.586	-0.891
"B0687"	"seqA"	"seqA negative modulator of initiation of replication "	0.881	1.268
"B0688"	"pgm"	"pgm phosphoglucomutase "	-0.216	0.8
"B0695"	"kdpD"	"kdpD sensor for high-affinity potassium transport system "		
"B0696"	"kdpC"	"kdpC high-affinity potassium transport system "		-0.635
"B0697"	"kdpB"	"kdpB ATPase of high-affinity potassium transport system, B chain "		-0.242
"B0698"	"kdpA"	"kdpA ATPase of high-affinity potassium transport system, A chain "		-1.001
"B0700"	"rhsC"	"rhsC rhsC protein in rhs element "	-2.909	-2.347
"B0703"	"B0703"	"B0703 orf, hypothetical protein "		-2.118
"B0705"	"ybfL"	"ybfL putative receptor protein "		-2.338
"B0706"	"ybfD"	"ybfD putative DNA ligase "		-2.418
"B0707"	"ybgA"	"ybgA orf, hypothetical protein "	-0.582	0.749
"B0708"	"phrB"	"phrB deoxyribodipyrimidine photolyase (photoreactivation) "	-1.465	-0.469
"B0709"	"ybgH"	"ybgH putative transport protein "		-0.503
"B0710"	"ybgI"	"ybgI orf, hypothetical protein "		1.239
"B0711"	"ybgJ"	"ybgJ putative carboxylase "		1.429
"B0712"	"ybgK"	"ybgK putative carboxylase "		1.062
"B0713"	"ybgL"	"ybgL putative lactam utilization protein "		-0.39
"B0714"	"nei"	"nei endonuclease VIII and DNA N-glycosylase with an AP lyase activity "		-0.824
"B0715"	"abrB"	"abrB putative transport protein "	-1.109	0.43
"B0716"	"ybgO"	"ybgO orf, hypothetical protein "		-0.585
"B0717"	"ybgP"	"ybgP putative chaperone "		
"B0718"	"ybgQ"	"ybgQ putative outer membrane protein "		
"B0719"	"ybgD"	"ybgD putative fimbrial-like protein "		
"B0720"	"gltA"	"gltA citrate synthase "	4.45	3.246
"B0721"	"sdhC"	"sdhC succinate dehydrogenase, cytochrome b556 "	5.43	
"B0722"	"sdhD"	"sdhD succinate dehydrogenase, hydrophobic subunit "	4.519	
"B0723"	"sdhA"	"sdhA succinate dehydrogenase, flavoprotein subunit "	2.737	
"B0724"	"sdhB"	"sdhB succinate dehydrogenase, iron sulfur protein "	3.34	-0.714
"B0726"	"sucA"	"sucA 2-oxoglutarate dehydrogenase (decarboxylase component) "	4.043	0.392
"B0727"	"sucB"	"sucB 2-oxoglutarate dehydrogenase (dihydrolipoyltranssuccinase E2 component) "	3.475	0.755
"B0728"	"sucC"	"sucC succinyl-CoA synthetase, beta subunit "	3.356	1.401
"B0729"	"sucD"	"sucD succinyl-CoA synthetase, alpha subunit "	3.064	0.033
"B0730"	"farR"	"farR transcriptional regulator of succinylCoA synthetase operon "		
"B0731"	"hrsA"	"hrsA protein modification enzyme, induction of ompC "	-1.151	-0.195
"B0732"	"ybgG"	"ybgG putative sugar hydrolase "		-1.456
"B0733"	"cydA"	"cydA cytochrome d terminal oxidase, polypeptide subunit I "	-0.706	0.218
"B0734"	"cydB"	"cydB cytochrome d terminal oxidase polypeptide subunit II "	-1.286	0.01
"B0735"	"ybgE"	"ybgE orf, hypothetical protein "		-0.55
"B0737"	"tolQ"	"tolQ inner membrane protein, membrane-spanning, maintains integrity of cell envelope; tolerance to group A colicins "	-0.817	-0.174
"B0738"	"tolR"	"tolR putative inner membrane protein, involved in the tonB-independent uptake of group A colicins "	-1.318	-0.676
"B0739"	"tolA"	"tolA membrane spanning protein, required for outer membrane integrity "	0.41	0.787
"B0740"	"tolB"	"tolB periplasmic protein involved in the tonb-independent uptake of group A colicins "	1.16	1.522
"B0741"	"pal"	"pal peptidoglycan-associated lipoprotein "	2.776	3.146
"B0742"	"ybgF"	"ybgF orf, hypothetical protein "	1.718	1.609
"B0750"	"nadA"	"nadA quinolinate synthetase, A protein "	-1.339	0.079
"B0751"	"pnuC"	"pnuC required for NMN transport "		0.917
"B0752"	"ybgR"	"ybgR putative transport system permease protein "		0.04
"B0753"	"B0753"	"B0753 putative homeobox protein "	-0.438	2.392
"B0754"	"aroG"	"aroG 3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, phenylalanine repressible) "	-0.37	2.559
"B0755"	"gpmA"	"gpmA phosphoglyceromutase 1 "	2.19	3.828
"B0756"	"galM"	"galM galactose-1-epimerase (mutarotase) "	0.164	1.169
"B0757"	"galK"	"galK galactokinase "	-1.437	-0.286
"B0758"	"galT"	"galT galactose-1-phosphate uridylyltransferase "	-0.707	-0.221
"B0759"	"galE"	"galE UDP-galactose-4-epimerase "	0.29	0.054
"B0760"	"modF"	"modF ATP-binding component of molybdate transport system "		0.157
"B0761"	"modE"	"modE molybdate uptake regulatory protein "	-0.099	1.045
"B0762"	"B0762"	"B0762 orf, hypothetical protein "	-0.324	1.134
"B0763"	"modA"	"modA molybdate-binding periplasmic protein; permease "	-1.368	2.935
"B0764"	"modB"	"modB molybdate transport permease protein "		1.085
"B0765"	"modC"	"modC ATP-binding component of molybdate transport "		0.559
"B0766"	"ybhA"	"ybhA putative phosphatase "	0.298	0.155
"B0767"	"ybhE"	"ybhE putative isomerase "	0.622	1.416
"B0771"	"ybhJ"	"ybhJ putative enzyme "		-0.752
"B0772"	"ybhC"	"ybhC putative pectinesterase "		-0.209
"B0773"	"ybhB"	"ybhB orf, hypothetical protein "		1.123
"B0774"	"BioA"	"BioA 7,8-diaminopelargonic acid synthetase "		1.201
"B0775"	"BioB"	"BioB biotin synthesis, sulfur insertion? "		1.566
"B0776"	"BioF"	"BioF 8-amino-7-oxononanoate synthase "		0.825
"B0777"	"BioC"	"BioC Biotin biosynthesis; reaction prior to pimeloyl CoA "		0.72
"B0778"	"BioD"	"BioD dethiobiotin synthetase "		0.935
"B0779"	"uvrB"	"uvrB DNA repair; excision nuclease subunit B "	-2.323	-0.018
"B0780"	"ybhK"	"ybhK putative structural protein "		-1.065
"B0781"	"moaA"	"moaA molybdopterin biosynthesis, protein A "		-0.343
"B0782"	"moaB"	"moaB molybdopterin biosynthesis, protein B "		-0.116
"B0783"	"moaC"	"moaC molybdopterin biosynthesis, protein C "		-0.086
"B0784"	"moaD"	"moaD molybdopterin biosynthesis "		
"B0785"	"moaE"	"moaE molybdopterin converting factor, subunit 2 "		-0.14
"B0786"	"ybhL"	"ybhL orf, hypothetical protein "	-0.362	1.242
"B0787"	"ybhM"	"ybhM orf, hypothetical protein "		-1.149
"B0788"	"ybhN"	"ybhN orf, hypothetical protein "		-1.263
"B0789"	"ybhO"	"ybhO putative synthetase "		-0.105
"B0790"	"ybhP"	"ybhP orf, hypothetical protein "		-0.222
"B0791"	"ybhQ"	"ybhQ orf, hypothetical protein "		-0.261
"B0792"	"ybhR"	"ybhR orf, hypothetical protein "	-1.978	-1.172
"B0793"	"ybhS"	"ybhS orf, hypothetical protein "		-0.278
"B0794"	"ybhF"	"ybhF putative ATP-binding component of a transport system "		
"B0795"	"B0795"	"B0795 putative membrane protein "	-0.965	0.136
"B0796"	"ybiH"	"ybiH putative transcriptional regulator "	-1.214	
"B0797"	"rhlE"	"rhlE putative ATP-dependent RNA helicase "		-0.778
"B0799"	"dinG"	"dinG probably ATP-dependent helicase "		-1.232
"B0800"	"ybiB"	"ybiB putative enzyme "	-0.656	0.457
"B0801"	"ybiC"	"ybiC putative dehydrogenase "	-0.52	1.432
"B0802"	"ybiJ"	"ybiJ orf, hypothetical protein "		-0.401
"B0804"	"ybiX"	"ybiX putative enzyme "		0.776
"B0805"	"B0805"	"B0805 putative outer membrane receptor for iron transport "	-0.46	1.48
"B0807"	"ybiN"	"ybiN orf, hypothetical protein "	-1.529	-0.716
"B0808"	"ybiO"	"ybiO putative transport protein "	-1.663	-0.429
"B0809"	"glnQ"	"glnQ ATP-binding component of glutamine high-affinity transport system "	0.548	-0.438
"B0810"	"glnP"	"glnP glutamine high-affinity transport system; membrane component "	1.203	0.439
"B0811"	"glnH"	"glnH periplasmic glutamine-binding protein; permease "	3.944	1.561
"B0812"	"dps"	"dps global regulator, starvation conditions "	3.724	6.714
"B0813"	"ybiF"	"ybiF putative transmembrane subunit "	-1.27	1.361
"B0814"	"ompX"	"ompX outer membrane protein X "	3.26	4.739
"B0815"	"ybiP"	"ybiP putative enzyme "		0.195
"B0816"	"B0816"	"B0816 orf, hypothetical protein "		2.107
"B0817"	"B0817"	"B0817 putative toxin "	-0.777	0.376
"B0818"	"ybiR"	"ybiR orf, hypothetical protein "	-0.698	0.191
"B0819"	"ybiS"	"ybiS orf, hypothetical protein "	-0.867	0.49
