"Object ID"	"Polypeptides"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"EG12200-MONOMER"	EG12200-MONOMER	"YegD"	49.371
"EG50003-MONOMER"	EG50003-MONOMER	"apoprotein [acyl carrier protein]" // "AcpP" // "apo-[acyl carrier protein]" // apo-ACP // ACP	8.64
"EG11095-MONOMER"	EG11095-MONOMER	"YajB" // "AcpH"	22.961
"ACYLCOADEHYDROG-MONOMER"	ACYLCOADEHYDROG-MONOMER	"FadE" // "YafH"	89.224
"EG11121-MONOMER"	EG11121-MONOMER	"YciA"	14.231
"THIOESTERII-MONOMER"	THIOESTERII-MONOMER	"TesB"	31.966 // 32.1
"G6502-MONOMER"	G6502-MONOMER	"YccX"	10.3
"AAS-MONOMER"	AAS-MONOMER	"Aas"	80.7
"EG11692-MONOMER"	EG11692-MONOMER	"AdeD" // "Adu" // "Ade" // "YicP" // "cryptic adenine deaminase"	63.739 // 60
"EG10627-MONOMER"	EG10627-MONOMER	"MicA" // "MutY" // "adenine glycosylase; G.C &rarr; T.A transversions"	39.149
"ADENPRIBOSYLTRAN-MONOMER"	ADENPRIBOSYLTRAN-MONOMER	"Apt"	19.859
"EG11691-MONOMER"	EG11691-MONOMER	"AdeQ" // "YicO"	46.934
"EG11724-MONOMER"	EG11724-MONOMER	"AdeP" // "YieG" // "PurP"	46.866
"ADENODEAMIN-MONOMER"	ADENODEAMIN-MONOMER	"Add"	36.397 // 29.0
"DAPASYN-MONOMER"	DAPASYN-MONOMER	"BioA"	47.336 // 47
"ADENYLATECYC-MONOMER"	ADENYLATECYC-MONOMER	"Cya" // "CyaA"	97.586 // 95.0
"ADENYL-KIN-MONOMER"	ADENYL-KIN-MONOMER	"PlsA" // "DnaW" // "Adk"	23.586 // 27.0
"ASL-MONOMER"	ASL-MONOMER	"Ade" // "PurB"	51.543 // 49.5
"ADENYLOSUCCINATE-SYN-MONOMER"	ADENYLOSUCCINATE-SYN-MONOMER	"AdeK" // "PurA"	47.345 // 48
"ADENYLYLSULFKIN-MONOMER"	ADENYLYLSULFKIN-MONOMER	"CysC"	22.321 // 21.0
"G6225-MONOMER"	G6225-MONOMER	"YaiU"	50.323
"G6894-MONOMER"	G6894-MONOMER	"YdhQ"	42.876
"EG12051-MONOMER"	EG12051-MONOMER	"YejO"	88.476
"G7382-MONOMER"	G7382-MONOMER	"YpjA"	157.499
"EG12210-MONOMER"	EG12210-MONOMER	"WaaF" // "RfaF" // "ADP-heptose:LPS heptosyltransferase II" // "HepII"	39.042
"EG11189-MONOMER"	EG11189-MONOMER	"YibC" // "WaaC" // "RfaC"	35.544 // 36
"EG10838-MONOMER"	EG10838-MONOMER	"HldD" // "WaaD" // "NbsB" // "HtrM" // "RfaD"	34.893 // 37
"G7740-MONOMER"	G7740-MONOMER	"NudE" // "YrfE" // "ADP-sugar pyrophosphorylase"	21.153 // 21.5d0
"EG12633-MONOMER"	EG12633-MONOMER	"AspP" // "NudF" // "YqiE" // "TrgB"	23.667 // 26.0
"YCHM-MONOMER"	YCHM-MONOMER	"DauA" // "YchM"	59.429
"AERGLYC3PDEHYDROG-MONOMER"	AERGLYC3PDEHYDROG-MONOMER	"GlyD" // "GlpD"	56.751 // 58.0
"G7595-MONOMER"	G7595-MONOMER	"YqjJ" // "Air" // "Aer"	55.066
"AGMATIN-MONOMER"	AGMATIN-MONOMER	"SpeB"	33.557 // 38.0
"G6948-MONOMER"	G6948-MONOMER	"YnjA"	20.533
"ALARACEBIOSYN-MONOMER"	ALARACEBIOSYN-MONOMER	"Alr" // "alanine racemase 1, PLP-binding, biosynthetic" // "biosynthetic alanine racemase"	39.153 // 40.0
"ALARACECAT-MONOMER"	ALARACECAT-MONOMER	"DadB" // "AlnB" // "AlnA" // "DadX" // "alanine racemase 2, PLP-binding"	38.845 // 54.0
"ALAS-MONOMER"	ALAS-MONOMER	"Act" // "LovB" // "AlaS" // "ala-act"	96.032 // 95
"SUCCGLUALDDEHYD-MONOMER"	SUCCGLUALDDEHYD-MONOMER	"YdjU" // "AstD"	53.026
"LACTALDDEHYDROG-MONOMER"	LACTALDDEHYDROG-MONOMER	"Ald" // "AldA"	52.273 // 55.0
"ALDDEHYDROGB-MONOMER"	ALDDEHYDROGB-MONOMER	"YiaX" // "AldB"	56.306
"G6156-MONOMER"	G6156-MONOMER	"YagS" // "PaoB"	33.858 // 33.9
"G6157-MONOMER"	G6157-MONOMER	"YagT" // "PaoA"	24.343 // 21.0
"G6155-MONOMER"	G6155-MONOMER	"YagR" // "PaoC"	78.088 // 75.1
"EG11436-MONOMER"	EG11436-MONOMER	"Ahr" // "YjgB" // "AdhZ3"	36.502
"G6190-MONOMER"	G6190-MONOMER	"YahK" // "AdhZ2"	37.978
"ADHE-MONOMER"	ADHE-MONOMER	"AdhC" // "Ana" // "AdhE"	96.127
"G6437-MONOMER"	G6437-MONOMER	"YliI"	41.054
"YCBE-MONOMER"	YCBE-MONOMER	"YcbE"	27.738
"YCBM-MONOMER"	YCBM-MONOMER	"YcbM"	28.925
"G6478-MONOMER"	G6478-MONOMER	"YcbO"	34.558
"ALKAPHOSPHA-MONOMER"	ALKAPHOSPHA-MONOMER	"PsiA" // "PhoA"	49.439
"EG10488-MONOMER"	EG10488-MONOMER	"Iap"	37.92
"EG11384-MONOMER"	EG11384-MONOMER	"Tpx" // "AhpC" // "alkyl hydroperoxide reductase, C22 subunit" // "Ssi8"	20.761
"EG11385-MONOMER"	EG11385-MONOMER	"AhpF" // "alkyl hydroperoxide reductase, F52a subunit"	56.177
"EG11955-MONOMER"	EG11955-MONOMER	"YjcS"	73.151
"OPPSYN-MONOMER"	OPPSYN-MONOMER	"Cel" // "YhbD" // "IspB"	35.217
"G6285-MONOMER"	G6285-MONOMER	"YlbB" // "AllC"	45.694
"G6281-MONOMER"	G6281-MONOMER	"YbbX" // "AllB"	49.602 // 50.5
"RIB5PISOMB-MONOMER"	RIB5PISOMB-MONOMER	"YjcA" // "AlsI" // "RpiB"	16.073
"ALPHA-AMYL-CYTO-MONOMER"	ALPHA-AMYL-CYTO-MONOMER	"YedC" // "AmyA"	56.639 // 56
"ALPHA-AMYL-PERI-MONOMER"	ALPHA-AMYL-PERI-MONOMER	"MalS"	75.713 // 66
"EG11850-MONOMER"	EG11850-MONOMER	"YihX" // "HAD4"	22.732
"EG11685-MONOMER"	EG11685-MONOMER	"YicI"	88.079 // 88.0
"KDGALDOL-MONOMER"	KDGALDOL-MONOMER	"YhaF" // "GarL"	27.384 // 27.4
"ALPHAGALACTOSID-MONOMER"	ALPHAGALACTOSID-MONOMER	"MelA"	50.657 // 50.0
"KGTP-MONOMER"	KGTP-MONOMER	"WitA" // "KgtP" // "&alpha;-ketoglutarate MFS transporter"	47.052
"EG13236-MONOMER"	EG13236-MONOMER	"YbgG" // "MngB"	100.015
"G7323-MONOMER"	G7323-MONOMER	"YfhM" // "ECAM"	181.584 // 183.0
"MONOMER0-2687"	MONOMER0-2687	"ArfA" // "YhdL"	8.171
"PRPPAMIDOTRANS-MONOMER"	PRPPAMIDOTRANS-MONOMER	"Ade" // "PurC" // "PurF"	56.488 // 57.0
"EG11157-MONOMER"	EG11157-MONOMER	"YgeA"	25.248
"EG10724-MONOMER"	EG10724-MONOMER	"PhnO"	16.57
"ADCLY-MONOMER"	ADCLY-MONOMER	"PabC"	29.715
"PABASYN-COMPI-MONOMER"	PABASYN-COMPI-MONOMER	"para-aminobenzoate synthase component I" // "ADC synthase" // "PabB" // "aminodeoxychorismate synthase component 1"	50.97
"PABASYN-COMPII-MONOMER"	PABASYN-COMPII-MONOMER	"para-aminobenzoate synthase glutamine amidotransferase component II" // "PabA" // "aminodeoxychorismate synthase component 2"	20.772
"GCVT-MONOMER"	GCVT-MONOMER	"GcvT" // "T-protein"	40.147 // 43.3
"G7248-MONOMER"	G7248-MONOMER	"YpdF"	39.624 // 41
"EG10694-MONOMER"	EG10694-MONOMER	"PepA" // "XerB" // "CarP"	54.88
"EG12310-MONOMER"	EG12310-MONOMER	"YfhI" // "PepB"	46.18
"EG10696-MONOMER"	EG10696-MONOMER	"PepN" // "&alpha;-aminoacylpeptide hydrolase"	98.919
"AMTB-MONOMER"	AMTB-MONOMER	"YbaG" // "AmtB ammonium Amt transporter" // "AmtB"	44.515
"AMP-NUCLEOSID-MONOMER"	AMP-NUCLEOSID-MONOMER	"Amn"	53.995 // 52.0
"DCUB-MONOMER"	DCUB-MONOMER	"GenF" // "DcuB"	47.935
"DCUC-MONOMER"	DCUC-MONOMER	"DcuC"	48.412
"ANGLYC3PDEHYDROGSUBUNITA-MONOMER"	ANGLYC3PDEHYDROGSUBUNITA-MONOMER	"GlpA"	58.958 // 62.0
"ANGLYC3PDEHYDROGSUBUNITB-MONOMER"	ANGLYC3PDEHYDROGSUBUNITB-MONOMER	"GlpB"	45.357 // 43.0
"ANGLYC3PDEHYDROGSUBUNITC-MONOMER"	ANGLYC3PDEHYDROGSUBUNITC-MONOMER	"GlpC"	44.108
"G7413-MONOMER"	G7413-MONOMER	"YgaK" // "YgaI" // "YgaJ" // "NorV" // "FlRd" // "flavorubredoxin"	54.234 // 54.0
"RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER"	RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER	"NrdD"	80.023 // 79.9
"RNTRACTIV-MONOMER"	RNTRACTIV-MONOMER	"YjgE" // "NrdG"	17.446
"G7321-MONOMER"	G7321-MONOMER	"YfgM"	22.176
"G6880-MONOMER"	G6880-MONOMER	"YdhH" // "AnmK"	39.496
"G6183-MONOMER"	G6183-MONOMER	"YahD" // "putative transcriptional regulator with ankyrin domain"	21.687
"ANTHRANSYNCOMPII-MONOMER"	ANTHRANSYNCOMPII-MONOMER	"TrpD" // "TrpGD" // "anthranilate synthase component II"	56.87
"ANTHRANSYNCOMPI-MONOMER"	ANTHRANSYNCOMPI-MONOMER	"TryD" // "TrpE" // "&alpha; subunit" // "anthranilate synthase component I"	57.495 // 60.0
"EG11256-MONOMER"	EG11256-MONOMER	"YaiB" // "IraP"	9.937
"G7923-MONOMER"	G7923-MONOMER	"YjiD" // "IraD"	14.747
"G6600-MONOMER"	G6600-MONOMER	"ElbA" // "YcgW" // "IraM"	12.133
"G6925-MONOMER"	G6925-MONOMER	"RflP" // "YdiV"	27.046
"EG12341-MONOMER"	EG12341-MONOMER	"YfiJ" // "MclA" // "RseA"	24.321 // 27.7
"G369-MONOMER"	G369-MONOMER	"FlgM"	10.341
"G7348-MONOMER"	G7348-MONOMER	"RseB"	35.75
"G7830-MONOMER"	G7830-MONOMER	"GhoS" // "YjdK"	11.468
"G6749-MONOMER"	G6749-MONOMER	"YdcQ" // "HicB"	15.247
"EG10571-MONOMER"	EG10571-MONOMER	"MazE" // "ChpR" // "ChpAI"	9.356
"G7571-MONOMER"	G7571-MONOMER	"MqsA" // "YgiT"	14.703
"G6121-MONOMER"	G6121-MONOMER	"YafW"	11.94
"EG10955-MONOMER"	EG10955-MONOMER	"PrlF" // "SohA"	12.359 // 12
"G6116-MONOMER"	G6116-MONOMER	"YafN" // "antitoxin of the YafO-YafN toxin-antitoxin system"	11.234
"G6110-MONOMER"	G6110-MONOMER	"DinJ" // "SosA" // "DinJ antitoxin of YafQ-DinJ toxin-antitoxin system / DNA-binding transcriptional repressor"	9.406 // 9.4
"G7601-MONOMER"	G7601-MONOMER	"YgjM" // "HigA" // "HigA antitoxin of the HigB-HigA toxin-antitoxin system"	14.995
"EG10442-MONOMER"	EG10442-MONOMER	"HipB"	10.016 // 10.0
"G6340-MONOMER"	G6340-MONOMER	"YbdU" // "CitX"	20.27 // 20.0
"ENTF-MONOMER"	ENTF-MONOMER	"EntF"	141.99 // 142.0
"EG10168-MONOMER"	EG10168-MONOMER	"CutE" // "Lnt"	57.066
"ARAG-MONOMER"	ARAG-MONOMER		55.018 // 52.0
"ARAH-MONOMER"	ARAH-MONOMER	"AraH"	34.211 // 31.0
"ARAF-MONOMER"	ARAF-MONOMER		35.541 // 33.0
"ARAE-MONOMER"	ARAE-MONOMER	"AraE" // "arabinose MFS transporter"	51.684 // 36.0
"ARGDECARBOXBIO-MONOMER"	ARGDECARBOXBIO-MONOMER	"SpeA"	73.898 // 70.0
"ARGDECARBOXDEG-MONOMER"	ARGDECARBOXDEG-MONOMER	"AdiA" // "Adi"	84.425
"ARGSUCCTRAN-MONOMER"	ARGSUCCTRAN-MONOMER	"YdjV" // "AstA"	38.456
"ARGS-MONOMER"	ARGS-MONOMER	"Lov" // "ArgS" // "ArgRS"	64.683 // 60.0
"YJDE-MONOMER"	YJDE-MONOMER	"YjdD" // "YjdE" // "AdiC"	46.843 // 34.0
"ARGSUCCINLYA-MONOMER"	ARGSUCCINLYA-MONOMER	"ArgH"	50.318
"ARGSUCCINSYN-MONOMER"	ARGSUCCINSYN-MONOMER	"ArgG"	49.898 // 50.0
"EG12713-MONOMER"	EG12713-MONOMER	"YddG"	31.539
"AROP-MONOMER"	AROP-MONOMER	"AroR" // "AroP" // "AroP  phenylalanine/tyrosine/tryptophan APC transporter"	49.69 // 37.0
"G7686-MONOMER"	G7686-MONOMER	"AaeA" // "YhcQ"	34.775
"G7685-MONOMER"	G7685-MONOMER	"AaeB" // "YhcP"	73.591
"EG12237-MONOMER"	EG12237-MONOMER	"ArsG" // "ArsC"	15.853
"ARSF-MONOMER"	ARSF-MONOMER	"ArsF" // "ArsB"	45.497
"G6770-MONOMER"	G6770-MONOMER	"NhoA" // "YddI"	32.275 // 32.0
"ARYLSULFAT-MONOMER"	ARYLSULFAT-MONOMER	"GppB" // "AtsA" // "AslA"	60.718
"EG12251-MONOMER"	EG12251-MONOMER	"YhjF" // "YhjG"	74.457
"EG11684-MONOMER"	EG11684-MONOMER	"YicH"	62.272
"G7690-MONOMER"	G7690-MONOMER	"YhdQ" // "YhdR" // "YhdP"	139.053
"ASNSYNA-MONOMER"	ASNSYNA-MONOMER	"AsnA"	36.651 // 37.0
"ASNSYNB-MONOMER"	ASNSYNB-MONOMER	"AsnB"	62.659
"ASNS-MONOMER"	ASNS-MONOMER	"Tss" // "Lcs" // "AsnS" // "AsnRS"	52.57 // 54
"ASPDECARBOX-MONOMER"	ASPDECARBOX-MONOMER	"PanD" // "PanD proenzyme, &pi; protein"	13.834
"ASPAMINOTRANS-MONOMER"	ASPAMINOTRANS-MONOMER	"AspC"	43.573
"ASPARTASE-MONOMER"	ASPARTASE-MONOMER	"AspA"	52.356 // 55
"ASPCARBCAT-MONOMER"	ASPCARBCAT-MONOMER	"PyrB"	34.427 // 33.5
"ASPCARBREG-MONOMER"	ASPCARBREG-MONOMER	"PyrI"	17.121 // 17.0
"ASPKINIII-MONOMER"	ASPKINIII-MONOMER	"Apk" // "LysC"	48.532 // 50
"ASPS-MONOMER"	ASPS-MONOMER	"Tls" // "AspS" // "AspRS"	65.913 // 65
"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER"	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	"Dap" // "Hom" // "Asd"	40.018 // 38.0
"EG10927-MONOMER"	EG10927-MONOMER	"SbcC"	118.721 // 118.0
"EG11094-MONOMER"	EG11094-MONOMER	"YajA" // "SbcD" // "orf-45"	44.714 // 45.0
"ATPPHOSRIBOSTRANS-MONOMER"	ATPPHOSRIBOSTRANS-MONOMER	"HisG"	33.367
"EG10106-MONOMER"	EG10106-MONOMER	"AtpI" // "UncI"	13.632
"ATPA-MONOMER"	ATPA-MONOMER	"UncA" // "PapA" // "AtpA"	55.222
"ATPD-MONOMER"	ATPD-MONOMER	"UncD" // "PapB" // "AtpD" // "ATP synthase F<sub>1</sub> complex - beta subunit"	50.325
"ATPH-MONOMER"	ATPH-MONOMER	"UncH" // "PapE" // "AtpH" // "ATP synthase F<sub>1</sub> complex - delta subunit"	19.332
"ATPC-MONOMER"	ATPC-MONOMER	"UncC" // "PapG" // "AtpC" // "ATP synthase F1 complex - epsilon subunit"	15.068
"ATPG-MONOMER"	ATPG-MONOMER	"UncG" // "PapC" // "AtpG" // "ATP synthase F<sub>1</sub> complex - gamma subunit"	31.577
"ATPB-MONOMER"	ATPB-MONOMER	"UncB" // "PapD" // "AtpB" // "protein 6" // "chain A" // "ATP synthase F<sub>0</sub> complex - a subunit"	30.303
"ATPF-MONOMER"	ATPF-MONOMER	"UncF" // "PapF" // "AtpF" // "B chain" // "ATP synthase F<sub>o</sub> complex - b subunit"	17.264
"ATPE-MONOMER"	ATPE-MONOMER	"UncE" // "PapH" // "AtpE" // "dicyclohexylcarbodiimide-binding protein" // "ATP synthase F<sub>0</sub> complex - subunit c"	8.256
"EG10613-MONOMER"	EG10613-MONOMER	"MsbA"	64.461 // 65.0
"EG11734-MONOMER"	EG11734-MONOMER	"PsiH" // "PhoH"	39.265 // 39
"UUP-MONOMER"	UUP-MONOMER	"YcbH" // "YcbI" // "Uup" // "Tex"	72.067 // 73
"EG10156-MONOMER"	EG10156-MONOMER	"LopD" // "ATP-binding component of serine protease" // "ClpA"	84.207 // 81.0
"EG10159-MONOMER"	EG10159-MONOMER	"LopC" // "ClpX"	46.356
"EG10158-MONOMER"	EG10158-MONOMER	"LopP" // "heat shock protein F21.5" // "ClpP"	23.187
"EG10829-MONOMER"	EG10829-MONOMER	"SpoV" // "RadC" // "RecG"	76.43
"EG10833-MONOMER"	EG10833-MONOMER	"RecQ"	68.363
"EG10837-MONOMER"	EG10837-MONOMER	"MmrA" // "MbrA" // "DasC" // "Rep" // "Rep helicase, a single-stranded DNA-dependent ATPase"	77.024 // 65.0
"EG11357-MONOMER"	EG11357-MONOMER	"RarB" // "DinG"	81.44
"G6732-MONOMER"	G6732-MONOMER	"HrpA"	149.027
"EG10210-MONOMER"	EG10210-MONOMER	"RhlC" // "DbpA" // "ATP-dependent RNA helicase, specific for 23S rRNA"	49.188 // 50
"EG11235-MONOMER"	EG11235-MONOMER	"RhlE"	49.989
"EG11506-MONOMER"	EG11506-MONOMER	"Std" // "TolZ" // "MrsC" // "FtsH" // "HflB"	70.708
"G6939-MONOMER"	G6939-MONOMER	"Spy"	18.199 // 15.9
"EG11881-MONOMER"	EG11881-MONOMER	"HtpI" // "ClpY" // "HslU" // "D48.5"	49.594 // 50
"G6859-MONOMER"	G6859-MONOMER	"YdgG" // "TqsA"	37.543
"YDEX-MONOMER"	YDEX-MONOMER	"YdeX" // "Ego" // "LsrA"	55.821
"YDEY-MONOMER"	YDEY-MONOMER	"YdeY" // "LsrC"	36.395
"YDEZ-MONOMER"	YDEZ-MONOMER	"YdeZ" // "LsrD"	34.456
"YNEA-MONOMER"	YNEA-MONOMER	"YneA"	36.685
"G6798-MONOMER"	G6798-MONOMER	"YdeV" // "LsrK"	57.545
"EG11780-MONOMER"	EG11780-MONOMER	"YneO" // "YdeK" // "OrfT"	136.514
"G6797-MONOMER"	G6797-MONOMER	"YneO" // "YdeU"	50.539
"EG10113-MONOMER"	EG10113-MONOMER	"Bfr" // "cytochrome b1"	18.495 // 18.0
"EG11181-MONOMER"	EG11181-MONOMER	"YheA" // "Bfd"	7.363
"MONOMER0-1563"	MONOMER0-1563	"YjeU" // "EcnB"	4.81
"EG11739-MONOMER"	EG11739-MONOMER	"NfrB"	85.319 // 69.5d0
"EG11740-MONOMER"	EG11740-MONOMER	"NfrA"	111.308 // 96
"G6403-MONOMER"	G6403-MONOMER	"YbhL"	25.902
"G6404-MONOMER"	G6404-MONOMER	"YbhM"	26.123
"EG10242-MONOMER"	EG10242-MONOMER	"DnaN" // "DNA polymerase III subunit &beta;"	40.587
"EG11983-MONOMER"	EG11983-MONOMER	"WbbI" // "YefG"	37.757
"G7311-MONOMER"	G7311-MONOMER	"BepA" // "YfgC"	53.908
"EG12013-MONOMER"	EG12013-MONOMER	"YohA" // "Glh" // "BglX"	83.46
"BETAGALACTOSID-MONOMER"	BETAGALACTOSID-MONOMER	"LacZ"	116.483
"BGLF-MONOMER"	BGLF-MONOMER	"BglS" // "BglF"	66.483
"ASCF-MONOMER"	ASCF-MONOMER	"Sac" // "AscF"	51.026
"BETA-GLUCURONID-MONOMER"	BETA-GLUCURONID-MONOMER	"GusA" // "GurA" // "UidA"	68.447 // 73.0
"FABA-MONOMER"	FABA-MONOMER	"FabA" // "&beta;-hydroxyacyl-ACP dehydratase/isomerase"	18.969
"FABB-MONOMER"	FABB-MONOMER	"FabC" // "FabB" // "&beta;-ketoacyl-ACP synthase I"	42.613 // 43.0
"3-OXOACYL-ACP-SYNTHII-MONOMER"	3-OXOACYL-ACP-SYNTHII-MONOMER	"Vtr" // "Cvc" // "VtrB" // "FabJ" // "FabF" // "&beta;-ketoacyl-ACP synthase II"	43.046 // 44.0
"FABH-MONOMER"	FABH-MONOMER	"FabH" // "&beta;-ketoacyl-ACP synthase III"	33.515
"G6718-MONOMER"	G6718-MONOMER	"YdbW" // "PaaJ"	42.277 // 43
"MONOMER0-1561"	MONOMER0-1561	"Blr"	4.556
"EG10040-MONOMER"	EG10040-MONOMER	"AmpA" // "AmpC"	41.556 // 29
"G6567-MONOMER"	G6567-MONOMER	"YcfO" // "NagZ" // "hexosaminidase"	37.595 // 38.0
"G6655-MONOMER"	G6655-MONOMER	"YcjU" // "PgmB"	23.565
"BADH-MONOMER"	BADH-MONOMER	"BetB"	52.911 // 55.0
"G7620-MONOMER"	G7620-MONOMER	"YhaK"	25.895
"SPOT-MONOMER"	SPOT-MONOMER	"SpoT"	79.342 // 80.0
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	"YigO" // "UbiE"	28.073
"DHHB-METHYLTRANSFER-MONOMER"	DHHB-METHYLTRANSFER-MONOMER	"PufX" // "YfaB" // "UbiG"	26.555
"FOLD-MONOMER"	FOLD-MONOMER	"Ads" // "FolD"	31.044
"ACONITATEDEHYDRB-MONOMER"	ACONITATEDEHYDRB-MONOMER	"YacI" // "YacJ" // "AcnB"	93.498 // 94
"AICARTRANSIMPCYCLO-CPLX"	AICARTRANSIMPCYCLO-CPLX	"PurH"	57.329
"FOLC-MONOMER"	FOLC-MONOMER	"DedC" // "FolC"	45.406 // 47.0
"HMP-P-KIN-MONOMER"	HMP-P-KIN-MONOMER	"ThiJ" // "ThiA" // "ThiN" // "ThiD"	28.634 // 43.0
"RIBF-MONOMER"	RIBF-MONOMER	"YaaC" // "RibF"	34.734 // 35
"G6776-MONOMER"	G6776-MONOMER	"YddX" // "Bdm" // "f92"	7.987
"BCCP-MONOMER"	BCCP-MONOMER	"FabE" // "AccB" // "apo-[acetyl-CoA:carbon-dioxide ligase (ADP forming)]" // "biotin carboxyl carrier protein" // "BCCP"	16.687 // 22.5d0
"BIOTIN-CARBOXYL-MONOMER"	BIOTIN-CARBOXYL-MONOMER	"AccC" // "FabG"	49.321
"EG10124-MONOMER"	EG10124-MONOMER	"BisC"	85.851 // 79
"BIOTIN-SYN-MONOMER"	BIOTIN-SYN-MONOMER	"BioB"	38.648 // 38.0
"EG11471-MONOMER"	EG11471-MONOMER	"BioP" // "BirB" // "YigM"	33.727
"G6603-MONOMER"	G6603-MONOMER	"BluF" // "YcgF" // "Blrp"	45.295
"EG11644-MONOMER"	EG11644-MONOMER	"YdeI" // "stress response protein"	14.121
"G7574-MONOMER"	G7574-MONOMER	"VisP" // "YgiW" // "stress-induced protein"	14.011
"BRNQ-MONOMER"	BRNQ-MONOMER	"HrbA" // "LIV-II" // "BrnQ" // "BrnQ branched chain amino acid LIVCS transporter"	46.209
"LIVF-MONOMER"	LIVF-MONOMER		26.31
"LIVG-MONOMER"	LIVG-MONOMER	"HrbC" // "HrbD" // "HrbB"	28.427 // 22.0
"LIVH-MONOMER"	LIVH-MONOMER	"HrbC" // "HrbD" // "HrbB"	32.982 // 30.0
"LIVM-MONOMER"	LIVM-MONOMER		46.269
"LIVJ-MONOMER"	LIVJ-MONOMER	"HrbC" // "HrbD" // "HrbB" // "LIV-I BP"	39.076
"BRANCHED-CHAINAMINOTRANSFER-MONOMER"	BRANCHED-CHAINAMINOTRANSFER-MONOMER	"IlvE"	34.094 // 34
"EG11817-MONOMER"	EG11817-MONOMER	"UmpG" // "YgbC" // "SurE"	26.9
"G7247-MONOMER"	G7247-MONOMER	"YpdE"	37.409 // 38
"EG12252-MONOMER"	EG12252-MONOMER	"PdeH" // "YhjH"	29.601
"G7880-MONOMER"	G7880-MONOMER	"BdcA" // "YjgI"	24.598
"EG12263-MONOMER"	EG12263-MONOMER	"BcsE" // "YhjS"	59.428
"DCTA-MONOMER"	DCTA-MONOMER	"DctA" // "SBP2" // "DctA DAACS transporter"	45.436
"DCUA-MONOMER"	DCUA-MONOMER	"GenA" // "DcuA"	45.751
"CADB-MONOMER"	CADB-MONOMER	"CadB"	46.665 // 47
"G7061-MONOMER"	G7061-MONOMER	"YodA" // "ZinT"	24.762
"G7579-MONOMER"	G7579-MONOMER	"CpdA" // "Icc"	30.938 // 30.0
"G6506-MONOMER"	G6506-MONOMER	"YmcB" // "GfcC"	27.296
"EG11925-MONOMER"	EG11925-MONOMER	"YjbG"	26.281
"G6188-MONOMER"	G6188-MONOMER	"YahI"	33.931
"CARBPSYN-SMALL"	CARBPSYN-SMALL	"CarA" // "Arg" // "Cap" // "PyrA" // "&alpha; chain" // "small chain" // "carbamoyl phosphate synthetase, &alpha; chain"	41.431
"CARBPSYN-LARGE"	CARBPSYN-LARGE	"CarB" // "Cap" // "PyrA" // "&beta; chain" // "large chain" // "carbamoyl phosphate synthetase, &beta; chain"	117.842
"EG11364-MONOMER"	EG11364-MONOMER	"YieC" // "BglH"	60.657
"EG10167-MONOMER"	EG10167-MONOMER	"YbdC" // "CstA" // "cst-2"	75.105
"EG11447-MONOMER"	EG11447-MONOMER	"ZfiA" // "CsrA" // "pleiotropic regulatory protein for carbon source metabolism" // "translational dual regulator CsrA"	6.856
"EG10716-MONOMER"	EG10716-MONOMER	"PhnG" // "PhnG subunit of methylphosphonate degradation complex"	16.54 // 17.0
"EG10717-MONOMER"	EG10717-MONOMER	"PhnH" // "PhnH subunit of methylphosphonate degradation complex"	21.027 // 28.0
"EG10718-MONOMER"	EG10718-MONOMER	"PhnI" // "PhnI subunit of methylphosphonate degradation complex"	38.853 // 43.0
"EG10719-MONOMER"	EG10719-MONOMER	"PhnJ"	31.845 // 38.0
"PHNK-MONOMER"	PHNK-MONOMER	"PhnK"	27.831 // 29.0
"CARBODEHYDRAT-MONOMER"	CARBODEHYDRAT-MONOMER	"CynT"	23.764 // 24
"EG12319-MONOMER"	EG12319-MONOMER	"YadF" // "Can"	25.097
"G7020-MONOMER"	G7020-MONOMER	"CmoA" // "YecO"	27.777
"G6326-MONOMER"	G6326-MONOMER	"YbdK"	41.688
"G7853-MONOMER"	G7853-MONOMER	"YjfP"	27.588
"CARDIOLIPSYN-MONOMER"	CARDIOLIPSYN-MONOMER	"ClsA" // "YciJ" // "Nov" // "Cls" // "cardiolipin synthase 1"	54.822 // 46.0
"G6406-MONOMER"	G6406-MONOMER	"ClsB" // "YbhO" // "cardiolipin synthase 2"	47.634 // 48.0
"G6551-MONOMER"	G6551-MONOMER	"ClsC" // "YmdC" // "cardiolipin synthase 3"	53.666
"G6988-MONOMER"	G6988-MONOMER	"YeaW" // "2Fe-2S cluster-containing protein"	42.561
"G6989-MONOMER"	G6989-MONOMER	"YeaX"	35.661
"CAIC-MONOMER"	CAIC-MONOMER	"YaaM" // "CaiC"	58.559 // 60.0
"EG12634-MONOMER"	EG12634-MONOMER	"YgcB" // "Cas3"	100.545
"THREDEHYDCAT-MONOMER"	THREDEHYDCAT-MONOMER	"Tdc" // "TdcB"	35.232 // 39.0
