Frame ID	Name	Stoichiometry	Modified form	Comments
1-PFK	1-phosphofructokinase	((1-PFK-MONOMER, 2))	
PDXK-CPLX	pyridoxamine kinase / hydroxymethylpyrimidine kinase / pyridoxal kinase	((PDXK-MONOMER, 4))	
PEPCARBOX-CPLX	phosphoenolpyruvate carboxylase	((PEPCARBOX-MONOMER, 4))	
PEPSYNTH-CPLX	phosphoenolpyruvate synthetase	((PEPSYNTH-MONOMER, 2))	
PGLYCDEHYDROG-CPLX	&alpha;-ketoglutarate reductase / D-3-phosphoglycerate dehydrogenase	((PGLYCDEHYDROG-MONOMER, 4))	
PHENDEHYD-CPLX	phenylacetaldehyde dehydrogenase	((PHENDEHYD-MONOMER, 2))	
PHES-CPLX	phenylalanyl-tRNA synthetase	((PHES-MONOMER, 2) (PHET-MONOMER, 2))	
PHOR-CPLX	PhoR sensory histidine kinase	((PHOR-MONOMER, 2))	(PHOSPHO-PHOR)
PHOSACETYLTRANS-CPLX	phosphate acetyltransferase / phosphate propionyltransferase	((PHOSACETYLTRANS-MONOMER, 6))	
PHOSGLYCMUTASE	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	((GPMA-MONOMER, 2))	
PHOSPHASERDECARB-CPLX	phosphatidylserine decarboxylase	((PHOSPHASERDECARB-DIMER, 1))	
PHOSPHASERDECARB-DIMER	phosphatidylserine decarboxylase, heterodimer	((PHOSPHASERDECARB-BETA-MONOMER, 1) (PHOSPHASERDECARB-ALPHA-MONOMER, 1))	
PHOSPHASERSYN-CPLX	phosphatidylserine synthase	((PHOSPHASERSYN-MONOMER, 1))	
PHOSPHO-ENVZ	EnvZ sensory histidine kinase - phosphorylated	((ENVZ-MONOMER, 2))	
PHOSPHO-OMPR	OmpR-Phosphorylated DNA-binding transcriptional dual regulator	((PHOSPHO-OMPR-MONOMER, 2))	
PHOSPHO-TORR	TorR-Phosphorylated DNA-binding transcriptional dual regulator	((TORR-MONOMER, 2))	
PII2-CPLX	nitrogen regulatory protein GlnK	((PROTEIN-PII2, 3))	
PIIPROTEIN-CPLX	nitrogen regulatory protein P-II 1	((PROTEIN-PII, 3))	
PKI-COMPLEX	pyruvate kinase I	((PKI-MONOMER, 4))	
PKII-CPLX	pyruvate kinase II	((PKII-MONOMER, 4))	
PORPHOBILSYNTH-CPLX	porphobilinogen synthase	((PORPHOBILSYNTH-MONOMER, 8))	
PPK-CPLX	polyphosphate kinase	((PPK-MONOMER, 4))	
PPPGPPHYDRO-CPLX	guanosine-5'-triphosphate, 3'-diphosphate pyrophosphatase	((PPPGPPHYDRO-MONOMER, 2))	
PPX-CPLX	exopolyphosphatase	((PPX-MONOMER, 2))	
PROLINEMULTI-CPLX	&gamma;-glutamyl kinase-GP-reductase multienzyme complex	((GLUTKIN-CPLX, 1) (GLUTSEMIALDEHYDROG-CPLX, 1))	
PROS-CPLX	prolyl-tRNA synthetase	((PROS-MONOMER, 2))	
PROTEIN-NRIIP	NtrB sensory histidine kinase - phosphorylated	((PROTEIN-NRII, 2))	
PROTEIN-NRIP	NtrC-Phosphorylated DNA-binding transcriptional dual regulator	((MONOMER0-4198, 8))	
PRPPAMIDOTRANS-CPLX	amidophosphoribosyl transferase	((PRPPAMIDOTRANS-MONOMER, 4))	
PSERTRANSAM-CPLX	phosphohydroxythreonine aminotransferase / 3-phosphoserine aminotransferase	((PSERTRANSAM-MONOMER, 2))	
PURE-CPLX	<i>N</i><sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	((PURE-MONOMER, 8))	
PURK-CPLX	<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase	((PURK-MONOMER, 2))	
PUTA-CPLX	fused PutA DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	((PUTA-MONOMER, 2))	
PYRNUTRANSHYDROGEN-CPLX	pyridine nucleotide transhydrogenase	((PNTB-MONOMER, 2) (PNTA-MONOMER, 2))	
PYRROLINECARBREDUCT-CPLX	pyrroline-5-carboxylate reductase	((PYRROLINECARBREDUCT-MONOMER, 10))	
PYRUVATEDEH-CPLX	pyruvate dehydrogenase	((E1P-CPLX, 12) (E2P-MONOMER, 24) (E3-CPLX, 6))	
PYRUVFORMLY-CPLX	pyruvate formate-lyase / 2-ketobutyrate formate-lyase	((PYRUVFORMLY-MONOMER, 2))	
PYRUVFORMLY-INACTIVE-CPLX	pyruvate formate-lyase (inactive)	((PYRUVFORMLY-MONOMER, 2))	(PYRUVFORMLY-CPLX)
PYRUVOXID-CPLX	acetoin synthesis / pyruvate oxidase	((PYRUVOXID-MONOMER, 4))	
QOR-CPLX	quinone oxidoreductase	((QOR-MONOMER, 2))	
QUINOPRIBOTRANS-CPLX	quinolinate phosphoribosyltransferase	((QUINOPRIBOTRANS-MONOMER, 2))	
RECBCD	RecBCD	((EG10826-MONOMER, 1) (EG10825-MONOMER, 1) (EG10824-MONOMER, 1))	
RECFOR-CPLX	RecFOR complex	((EG10828-MONOMER, 1) (EG10834-MONOMER, 1) (EG10832-MONOMER, 1))	
RHAMNULPALDOL-CPLX	rhamnulose-1-phosphate aldolase	((RHAMNULPALDOL-MONOMER, 4))	
RIB5PISOMA-CPLX	ribose-5-phosphate isomerase A	((RIB5PISOMA-MONOMER, 2))	
RIB5PISOMB-CPLX	allose-6-phosphate isomerase / ribose-5-phosphate isomerase B	((RIB5PISOMB-MONOMER, 2))	
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX	ribonucleoside diphosphate reductase 1	((B1-CPLX, 1) (B2-CPLX, 1))	
RIBONUCLEOSIDE-DIP-REDUCTII-CPLX	ribonucleoside-diphosphate reductase 2	((NRDE-CPLX, 1) (NRDF-CPLX, 1))	
RIBONUCLEOSIDE-TRIP-REDUCT-CPLX	ribonucleoside-triphosphate reductase	((RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER, 2))	(MONOMER0-2863)
RIBULOKIN-CPLX	L-ribulokinase	((RIBULOKIN-MONOMER, 2))	
RIBULPEPIM-CPLX	L-ribulose 5-phosphate 4-epimerase	((RIBULPEPIM-MONOMER, 4))	
RNAP32-CPLX	RNA polymerase sigma 32	((APORNAP-CPLX, 1) (RPOH-MONOMER, 1))	
RNAP54-CPLX	RNA polymerase sigma 54	((APORNAP-CPLX, 1) (RPON-MONOMER, 1))	
RNAP70-CPLX	RNA polymerase sigma 70	((APORNAP-CPLX, 1) (RPOD-MONOMER, 1))	
RNAPE-CPLX	RNA polymerase sigma 24	((APORNAP-CPLX, 1) (RPOE-MONOMER, 1))	
RNAPS-CPLX	RNA polymerase sigma 38	((APORNAP-CPLX, 1) (RPOS-MONOMER, 1))	
RUVABC-CPLX	resolvasome	((EG10925-MONOMER, 2) (EG10924-MONOMER, 4) (EG10923-MONOMER, 12))	
S-ADENMETSYN-CPLX	methionine adenosyltransferase	((S-ADENMETSYN-MONOMER, 4))	
SAICARSYN-CPLX	phosphoribosylaminoimidazole-succinocarboxamide synthase	((SAICARSYN-MONOMER, 3))	
SAMDECARB-CPLX	adenosylmethionine decarboxylase	((SAMDC-ALPHA-MONOMER, 4) (SAMDC-BETA-MONOMER, 4))	
SEC-SECRETION-CPLX	Sec Translocation Complex	((SECB, 1) (SECA, 1) (SECE-G-Y-CPLX, 1) (SECD-SECF-YAJC-YIDC-CPLX, 1))	
SECD-SECF-YAJC-YIDC-CPLX	SecD-SecF-YajC-YidC Secretion Complex	((YIDC, 1) (EG11096-MONOMER, 1) (SECF, 1) (SECD, 1))	
SECE-G-Y-CPLX	SecYEG translocase	((SECE, 1) (SECG, 1) (SECY, 1))	
SERS-CPLX	seryl-tRNA synthetase	((SERS-MONOMER, 2))	
SIROHEMESYN-CPLX	uroporphyrin III C-methyltransferase [multifunctional]	((SIROHEMESYN-MONOMER, 2))	
SORB6PDEHYDROG-CPLX	sorbitol-6-phosphate dehydrogenase	((SORB6PDEHYDROG-MONOMER, 4))	
SPERMACTRAN-CPLX	spermidine acetyltransferase	((SPERMACTRAN-MONOMER, 4))	
SPERMIDINESYN-CPLX	spermidine synthase	((SPERMIDINESYN-MONOMER, 2))	
SRP-CPLX	Signal Recognition Particle Protein Translocation System	((FFS-RNA, 1) (EG10346-MONOMER, 1) (EG10300-MONOMER, 1))	
SUCC-DEHASE	succinate dehydrogenase	((SDH-FLAVO, 1) (SDH-FE-S, 1) (SDH-MEMB1, 1) (SDH-MEMB2, 1))	
SUCCCOASYN	succinyl-CoA synthetase	((SUCCCOASYN-ALPHA, 2) (SUCCCOASYN-BETA, 2))	
SUCCORNTRANSAM-CPLX	succinylornithine transaminase	((SUCCORNTRANSAM-MONOMER, 2))	
SULFATE-ADENYLYLTRANS-CPLX	sulfate adenylyltransferase	((CYSD-MONOMER, 1) (CYSN-MONOMER, 1))	
SULFITE-REDUCT-CPLX	sulfite reductase	((CPLX0-7841, 1) (BETACOMP-MONOMER, 4))	
SUPEROX-DISMUTFE-CPLX	superoxide dismutase (Fe)	((SUPEROX-DISMUTFE-MONOMER, 2))	
SUPEROX-DISMUTMN-CPLX	superoxide dismutase (Mn)	((SUPEROX-DISMUTMN-MONOMER, 2))	
TAP-CPLX	chemotaxis signaling complex - dipeptide sensing	((CHEA-CPLX, 1) (CHEW-MONOMER, 2) (TAP-MONOMER, 2))	(TAP-GLUME TAP-GLU TAP-GLN)
TAP-GLN	Tap<SUP>gln</SUP>	((TAP-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TAP-GLU	Tap<SUP>glu</SUP>	((TAP-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TAP-GLUME	Tap<SUP>glu-Me</SUP>	((TAP-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TAR-CPLX	chemotaxis signaling complex - aspartate sensing	((CHEA-CPLX, 1) (CHEW-MONOMER, 2) (TAR-MONOMER, 2))	(TAR-GLUME TAR-GLU TAR-GLN)
TAR-GLN	Tar<SUP>gln</SUP>	((TAR-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TAR-GLU	Tar<SUP>glu</SUP>	((TAR-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TAR-GLUME	Tar<SUP>glu-Me</SUP>	((TAR-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TATABCE-CPLX	TatABCE protein export complex	((G7808-MONOMER, 1) (EG11479-MONOMER, 1) (EG11305-MONOMER, 1) (TATA, 1))	
THIOESTERII-CPLX	thioesterase II	((THIOESTERII-MONOMER, 4))	
THIOREDOXIN-REDUCT-NADPH-CPLX	thioredoxin reductase	((THIOREDOXIN-REDUCT-NADPH-MONOMER, 2))	
THREDEHYDCAT-CPLX	catabolic threonine dehydratase	((THREDEHYDCAT-MONOMER, 4))	
THREDEHYDSYN-CPLX	threonine deaminase	((THREDEHYDSYN-MONOMER, 4))	
THREODEHYD-CPLX	threonine dehydrogenase	((THREODEHYD-MONOMER, 4))	
THRS-CPLX	threonyl-tRNA synthetase	((THRS-MONOMER, 2))	
THYMIDYLATESYN-CPLX	thymidylate synthase	((THYMIDYLATESYN-MONOMER, 2))	
TMAOREDUCTI-CPLX	trimethylamine N-oxide reductase I	((EG11815-MONOMER, 1) (TORA-MONOMER, 2))	
TORR-CPLX	TorR transcriptional dual regulator	((TORR-MONOMER, 2))	(CPLX0-2821 PHOSPHO-TORR)
TORS-CPLX	TorS sensory histidine kinase	((TORS-MONOMER, 2))	
TPI	triose phosphate isomerase	((TPI-MONOMER, 2))	
TRANS-200-CPLX	MacAB-TolC macrolide efflux transport system	((CPLX0-7964, 1) (MACB, 2) (MACA, 1))	
TRANS-CPLX-201	AcrAB-TolC multidrug efflux transport system	((EG11703-MONOMER, 1) (CPLX0-7964, 1) (ACRB-MONOMER, 3))	
TRANS-CPLX-202	MdtABC-TolC multidrug efflux transport system	((CPLX0-7964, 1) (B2076-MONOMER, 1) (B2075-MONOMER, 2) (MDTA, 1))	
TRANS-CPLX-203	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter	((EG12283-MONOMER, 1) (EG12282-MONOMER, 1) (MONOMER0-422, 1))	
TRANS-CPLX-204	MdtEF-TolC multidrug efflux transport system	((CPLX0-7964, 1) (EG12240-MONOMER, 3) (YHIV-MONOMER, 3))	
TRANSALDOLB-CPLX	transaldolase	((TRANSALDOLB-MONOMER, 2))	
TRANSENOYLCOARED-CPLX	trans-2-enoyl-CoA reductase	((TRANSENOYLCOARED-MONOMER, 2))	
TRANSKETOI-CPLX	transketolase I	((TRANSKETOI-MONOMER, 2))	
TRG-CPLX	chemotaxis signaling complex - ribose/galactose/glucose sensing	((CHEA-CPLX, 1) (CHEW-MONOMER, 2) (TRG-MONOMER, 2))	(TRG-GLUME TRG-GLU TRG-GLN)
TRG-GLN	Trg<SUP>gln</SUP>	((TRG-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TRG-GLU	Trg<SUP>glu</SUP>	((TRG-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TRG-GLUME	Trg<SUP>glu-Me</SUP>	((TRG-MONOMER, 2) (CHEW-MONOMER, 2) (CHEA-CPLX, 1))	
TRPS-CPLX	tryptophanyl-tRNA synthetase	((TRPS-MONOMER, 2))	
TRYPSYN	tryptophan synthase	((TRYPSYN-APROTEIN, 2) (CPLX0-2401, 1))	
TRYPTOPHAN-CPLX	tryptophanase / L-cysteine desulfhydrase	((TRYPTOPHAN-MONOMER, 4))	
TSR-CPLX	chemotaxis signaling complex - serine sensing	((CHEW-MONOMER, 2) (CHEA-CPLX, 1) (TSR-MONOMER, 2))	(TSR-GLUME TSR-GLU TSR-GLN)
TSR-GLN	Tsr<SUP>gln</SUP>	((TSR-MONOMER, 2) (CHEA-CPLX, 1) (CHEW-MONOMER, 2))	
TSR-GLU	Tsr<SUP>glu</SUP>	((TSR-MONOMER, 2) (CHEA-CPLX, 1) (CHEW-MONOMER, 2))	
TSR-GLUME	Tsr<SUP>glu-Me</SUP>	((TSR-MONOMER, 2) (CHEA-CPLX, 1) (CHEW-MONOMER, 2))	
TTDA-CPLX	&alpha; subunit complex	((TTDA-MONOMER, 2))	
TTDB-CPLX	&beta; subunit complex	((TTDB-MONOMER, 2))	
TYRB-DIMER	tyrosine aminotransferase	((TYRB-MONOMER, 2))	
TYRS-CPLX	tyrosyl-tRNA synthetase	((TYRS-MONOMER, 2))	
UDHA-CPLX	pyridine nucleotide transhydrogenase	((UDHA-MONOMER, 8))	
UDPGLUCEPIM-CPLX	UDP-glucose 4-epimerase	((UDPGLUCEPIM-MONOMER, 2))	
UDPNACETYLGLUCOSAMACYLTRANS-CPLX	UDP-N-acetylglucosamine acyltransferase	((UDPNACETYLGLUCOSAMACYLTRANS-MONOMER, 3))	
UMPKI-CPLX	UMP kinase	((UMPKI-MONOMER, 6))	
UPPSYN-CPLX	undecaprenyl diphosphate synthase	((UPPSYN-MONOMER, 2))	
URACIL-PRIBOSYLTRANS-CPLX	uracil phosphoribosyltransferase	((URACIL-PRIBOSYLTRANS-MONOMER, 3))	
URPHOS-CPLX	uridine phosphorylase	((URPHOS-MONOMER, 6))	
UVRABC-CPLX	UvrABC Nucleotide Excision Repair Complex	((EG11064-MONOMER, 1) (EG11061-MONOMER, 1) (EG11063-MONOMER, 1) (EG11062-MONOMER, 1))	
XANTHOSINEPHOSPHORY-CPLX	xanthosine phosphorylase	((XANTHOSINEPHOSPHORY-MONOMER, 6))	
XYLISOM-CPLX	xylose isomerase	((XYLISOM-MONOMER, 4))	
YDGEF-CPLX	spermidine efflux transporter	((B1600-MONOMER, 1) (B1599-MONOMER, 1))	
